Regions,Cells,Neurons,Glia,Excitatory,Inhibitory,Modulatory,Astrocytes,Oligodendrocytes,Microglia
Temporal association areas layer 5,219995,129685,90310,126982,1979,724,5608,43596,41106
Temporal association areas layer 6a,123177,70799,52378,68864,1493,442,2257,35298,14823
Temporal association areas layer 6b,29068,13779,15289,12617,1065,97,506,11434,3349
Perirhinal area,213663,135266,78397,117174,17335,757,4174,41833,32390
Perirhinal area layer 6a,34861,21032,13829,20354,514,164,502,9734,3593
Perirhinal area layer 6b,11380,6294,5086,5932,306,56,159,3944,983
Perirhinal area layer 1,23810,14991,8819,0,14966,25,313,2843,5663
Perirhinal area layer 5,69385,43169,26216,42065,774,330,1890,14902,9424
Perirhinal area layer 2/3,74227,49780,24447,48823,775,182,1310,10410,12727
Ectorhinal area,603564,374444,229120,320972,52036,1436,14782,95865,118473
Ectorhinal area/Layer 1,60738,38803,21935,0,38756,47,1312,4021,16602
Ectorhinal area/Layer 2/3,203616,129823,73793,122438,7080,305,4181,21498,48114
Ectorhinal area/Layer 5,215479,132435,83044,127595,4164,676,6339,38429,38276
Ectorhinal area/Layer 6a,103680,62800,40880,61114,1362,324,2666,24664,13550
Ectorhinal area/Layer 6b,20051,10583,9468,9825,674,84,284,7253,1931
Olfactory areas,8946971,6765459,2181512,6032282,714139,19038,381871,1148559,651082
Main olfactory bulb,5290336,4520734,769602,3929164,579574,11996,113967,238787,416848
Main olfactory bulb glomerular layer,1161755,985848,175907,815477,166846,3525,35576,22892,117439
Main olfactory bulb granule layer,2464549,2155121,309428,1883705,267971,3445,35267,143725,130436
Main olfactory bulb inner plexiform layer,433530,382053,51477,357716,23524,813,5580,17869,28028
Main olfactory bulb mitral layer,361359,316326,45033,299837,15655,834,6136,14675,24222
Main olfactory bulb outer plexiform layer,730854,572399,158455,490080,79338,2981,25700,29436,103319
Accessory olfactory bulb,190881,140546,50335,122774,17217,555,11979,21286,17070
